Time;Location
10/07/03 18:12;46.6667263,24.83512
10/07/03 18:12;46.6667262,24.8351208
10/07/03 18:12;46.6667245,24.8351087
10/07/03 18:12;46.6667243,24.8351047
10/07/03 18:12;46.6667243,24.8351058
10/07/03 18:12;46.6667238,24.8351072
10/07/03 18:12;46.6667235,24.8351092
10/07/03 18:12;46.6667235,24.835111
10/07/03 18:12;46.6667232,24.8351122
10/07/03 18:12;46.666723,24.8351142
10/07/03 18:12;46.6667228,24.8351158
10/07/03 18:12;46.6667232,24.8351168
10/07/03 18:12;46.6667235,24.8351167
10/07/03 18:12;46.6667235,24.8351173
10/07/03 18:12;46.6667235,24.8351185
10/07/03 18:12;46.6667235,24.8351193
10/07/03 18:12;46.6667223,24.8351235
10/07/03 18:12;46.6667215,24.8351265
10/07/03 18:12;46.666722,24.8351255
10/07/03 18:12;46.6667215,24.8351282
10/07/03 18:12;46.6667188,24.8351352
10/07/03 18:12;46.666718,24.8351378
10/07/03 18:12;46.6667165,24.8351417
10/07/03 18:12;46.6667155,24.8351448
10/07/03 18:12;46.6667105,24.8351583
10/07/03 18:12;46.6667075,24.8351668
10/07/03 18:12;46.666707,24.835168799999998
10/07/03 18:12;46.6667063,24.835171
10/07/03 18:12;46.6667022,24.8351838
10/07/03 18:11;46.6666998,24.8351905
10/07/03 18:11;46.6666963,24.8352002
10/07/03 18:11;46.6666948,24.8352043
10/07/03 18:11;46.6666883,24.835223
10/07/03 18:11;46.6666845,24.8352332
10/07/03 18:11;46.6666805,24.835244
10/07/03 18:11;46.6666765,24.8352542
10/07/03 18:11;46.6666635,24.8352888
10/07/03 18:11;46.6666582,24.8353018
10/07/03 18:11;46.6666515,24.8353198
10/07/03 18:11;46.6666455,24.835335
10/07/03 18:11;46.6666457,24.8353358
10/07/03 18:11;46.6666455,24.8353383
10/07/03 18:11;46.6666442,24.8353422
10/07/03 18:11;46.6666428,24.835346
10/07/03 18:11;46.6666453,24.8353378
10/07/03 18:11;46.6666503,24.8353182
10/07/03 18:11;46.6666522,24.8353102
10/07/03 18:11;46.6666547,24.8353022
10/07/03 18:11;46.6666577,24.8352918
10/07/03 18:11;46.666661,24.8352788
10/07/03 18:11;46.6666645,24.8352655
10/07/03 18:11;46.6666688,24.8352512
10/07/03 18:11;46.6666688,24.835253
10/07/03 18:11;46.6666683,24.8352563
10/07/03 18:11;46.6666677,24.8352612
10/07/03 18:11;46.666667,24.8352643
10/07/03 18:11;46.6666658,24.835269
10/07/03 18:11;46.6666647,24.8352735
10/07/03 18:11;46.666662,24.835283
10/07/03 18:11;46.6666607,24.8352872
10/07/03 18:11;46.6666587,24.8352933
10/07/03 18:11;46.6666568,24.8352998
10/07/03 18:11;46.6666535,24.8353112
10/07/03 18:11;46.6666527,24.8353145
10/07/03 18:11;46.6666515,24.8353188
10/07/03 18:11;46.6666477,24.835331
10/07/03 18:11;46.6666468,24.8353345
10/07/03 18:11;46.6666455,24.8353392
10/07/03 18:11;46.6666445,24.835342699999998
10/07/03 18:11;46.6666447,24.835344
10/07/03 18:11;46.6666482,24.8353315
10/07/03 18:11;46.6666472,24.8353348
10/07/03 18:11;46.6666462,24.8353383
10/07/03 18:11;46.666645,24.8353423
10/07/03 18:11;46.6666422,24.8353513
10/07/03 18:11;46.6666412,24.8353547
10/07/03 18:11;46.6666405,24.8353573
10/07/03 18:11;46.6666395,24.8353607
10/07/03 18:10;46.6666388,24.8353632
10/07/03 18:10;46.6666372,24.835368
10/07/03 18:10;46.6666365,24.8353703
10/07/03 18:10;46.6666362,24.8353722
10/07/03 18:10;46.6666357,24.835375
10/07/03 18:10;46.6666345,24.8353805
10/07/03 18:10;46.6666332,24.8353848
10/07/03 18:10;46.666631699999996,24.8353895
10/07/03 18:10;46.6666308,24.8353927
10/07/03 18:10;46.666635,24.835378
10/07/03 18:10;46.6666378,24.835368
10/07/03 18:10;46.6666393,24.835362
10/07/03 18:10;46.6666407,24.8353573
10/07/03 18:10;46.6666442,24.8353465
10/07/03 18:10;46.6666492,24.8353288
10/07/03 18:10;46.6666483,24.835332
10/07/03 18:10;46.666647,24.835336
10/07/03 18:10;46.6666462,24.8353388
10/07/03 18:10;46.6666423,24.835348
10/07/03 18:10;46.666641,24.8353513
10/07/03 18:10;46.666639,24.8353568
10/07/03 18:10;46.6666375,24.835361
10/07/03 18:10;46.6666345,24.8353697
10/07/03 18:10;46.6666328,24.8353742
10/07/03 18:10;46.666631,24.8353788
10/07/03 18:10;46.6666288,24.8353845
10/07/03 18:10;46.6666258,24.8353933
10/07/03 18:10;46.6666248,24.835396199999998
10/07/03 18:10;46.6666245,24.8353965
10/07/03 18:10;46.6666232,24.8353992
10/07/03 18:10;46.6666227,24.8353983
10/07/03 18:10;46.6666232,24.8353948
10/07/03 18:10;46.666624,24.8353912
10/07/03 18:10;46.666624,24.835389
10/07/03 18:10;46.6666242,24.8353842
10/07/03 18:10;46.6666272,24.8353732
10/07/03 18:10;46.6666288,24.8353668
10/07/03 18:10;46.6666312,24.8353582
10/07/03 18:10;46.6666348,24.8353447
10/07/03 18:10;46.6666403,24.8353258
10/07/03 18:10;46.666644,24.8353138
10/07/03 18:10;46.6666458,24.8353067
10/07/03 18:10;46.666647,24.8353012
10/07/03 18:10;46.6666478,24.8352925
10/07/03 18:10;46.6666528,24.8352765
10/07/03 18:10;46.6666548,24.8352687
10/07/03 18:10;46.6666587,24.8352553
10/07/03 18:10;46.6666687,24.8352247
10/07/03 18:09;46.6666688,24.8352237
10/07/03 18:09;46.6666715,24.8352157
10/07/03 18:09;46.6666737,24.8352083
10/07/03 18:09;46.6666787,24.8351925
10/07/03 18:09;46.66668,24.8351878
10/07/03 18:09;46.6666832,24.8351767
10/07/03 18:09;46.6666853,24.8351695
